rosbagTimestamp,controller_name,log,-,name,stamp,secs,nsecs,values
1543504712623494555,'',,"""Drone1_pos""",,1543504712,623261795,"[0.9676256775856018, -0.02614680863916874, 0.03574281930923462]"
1543504712633448264,'',,"""Drone1_pos""",,1543504712,633294432,"[0.9675865769386292, -0.02612580917775631, 0.035852041095495224]"
1543504712643142712,'',,"""Drone1_pos""",,1543504712,642958777,"[0.9676297307014465, -0.025953873991966248, 0.035574715584516525]"
1543504712653255385,'',,"""Drone1_pos""",,1543504712,653090927,"[0.9676129221916199, -0.02620702050626278, 0.03580011799931526]"
1543504712663804564,'',,"""Drone1_pos""",,1543504712,663666512,"[0.9676316976547241, -0.026105478405952454, 0.03570383042097092]"
1543504712673254343,'',,"""Drone1_pos""",,1543504712,672995525,"[0.9675843715667725, -0.026098623871803284, 0.035844169557094574]"
1543504712683319556,'',,"""Drone1_pos""",,1543504712,683184213,"[0.9675628542900085, -0.026174932718276978, 0.03594939038157463]"
1543504712693537724,'',,"""Drone1_pos""",,1543504712,693388699,"[0.9676141738891602, -0.025995593518018723, 0.03563082963228226]"
1543504712703785452,'',,"""Drone1_pos""",,1543504712,703594483,"[0.9675877690315247, -0.026163306087255478, 0.03579386696219444]"
1543504712713403448,'',,"""Drone1_pos""",,1543504712,713240231,"[0.9676231741905212, -0.026179363951086998, 0.0357905775308609]"
1543504712723312174,'',,"""Drone1_pos""",,1543504712,723040499,"[0.9676252007484436, -0.02619270607829094, 0.03578120842576027]"
1543504712733205053,'',,"""Drone1_pos""",,1543504712,733041905,"[0.9676002860069275, -0.0259966179728508, 0.03572326898574829]"
1543504712743438696,'',,"""Drone1_pos""",,1543504712,743085878,"[0.9675697088241577, -0.02604902908205986, 0.03584161773324013]"
1543504712753586033,'',,"""Drone1_pos""",,1543504712,753279472,"[0.9676246643066406, -0.02601621486246586, 0.03564661368727684]"
1543504712764235842,'',,"""Drone1_pos""",,1543504712,763943323,"[0.9675935506820679, -0.02607749216258526, 0.03576880320906639]"
1543504712773135163,'',,"""Drone1_pos""",,1543504712,772884359,"[0.9675838351249695, -0.026075806468725204, 0.03576311469078064]"
1543504712783929182,'',,"""Drone1_pos""",,1543504712,783502172,"[0.9675758481025696, -0.02618030644953251, 0.03590744361281395]"
1543504712793729967,'',,"""Drone1_pos""",,1543504712,792957126,"[0.9675641655921936, -0.02608666941523552, 0.03589535504579544]"
